# View: fund_peers
# Question: How does it compare with funds that do the same job?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: medium
# Source modules: m2, m0
# Notes:
#   - AMFI's older heading, which its newer one splits into sectoral and thematic funds; which of the two each fund here became is not recorded, so they are compared only with each other.
#   - This fund has less than three years of prices, so it is not in the picture of its category.
#   - Rank 1 is the highest return, the lowest volatility, the smallest fall, the highest return for the risk and the lowest expense ratio.
#   - Ranks compare the funds open today; funds that closed or merged are not included, which tends to flatter the category's middle.
# Generated: 2026-09-26T10:33:44.379052+00:00
fund,return_3y,volatility_3y
Aditya Birla Sun Life PSU Equity Fund,0.187509,0.209753
Edelweiss Recently Listed IPO Fund,0.184868,0.177841
Aditya Birla Sun Life Infrastructure Fund,0.179378,0.171181
Quant Infrastructure Fund,0.178125,0.202415
ICICI Prudential Infrastructure Fund,0.177660,0.161211
quant Manufacturing Fund,0.171284,0.188560
quant ESG Integration Strategy Fund,0.171212,0.164478
ICICI Prudential US Bluechip Equity Fund,0.168343,0.162388
Kotak Infrastructure and Economic Reform Fund,0.168055,0.175272
Franklin Build India Fund,0.163647,0.166754
Tata Resources & Energy Fund,0.163381,0.180090
SBI COMMA FUND,0.162689,0.180131
ICICI Prudential Commodities Fund,0.161475,0.193107
Kotak Business Cycle Fund,0.160757,0.137620
quant Quantamental Fund,0.156555,0.171895
Sundaram Infrastructure Advantage Fund (Erstwhile Sundaram Capex Opportunities),0.156408,0.168530
Tata India Consumer Fund,0.148732,0.140798
SBI BANKING & FINANCIAL SERVICES FUND,0.148637,0.155927
ICICI Prudential Business Cycle Fund,0.146829,0.128042
Nippon India Innovation Fund,0.145315,0.141913
HDFC Infrastructure Fund,0.145124,0.164180
ICICI Prudential Exports & Services Fund,0.142437,0.122979
Sundaram Services Fund,0.138637,0.140956
Kotak Quant Fund,0.137320,0.160160
Baroda BNP Paribas Banking and Financial Services Fund,0.136970,0.165300
ICICI Prudential India Opportunities Fund,0.135714,0.117981
Nippon India Quant Fund,0.134028,0.150096
SBI INFRASTRUCTURE FUND,0.133142,0.145436
Tata Infrastructure Fund,0.130882,0.180332
Aditya Birla Sun Life Business Cycle Fund,0.130031,0.137256
Baroda BNP Paribas Business Cycle Fund,0.128920,0.136826
UTI - Infrastructure Fund,0.126576,0.159337
UTI - Banking and Financial Services Fund,0.124035,0.160440
quant Business Cycle Fund,0.123562,0.178663
Sundaram Financial Services Opportunities Fund,0.122145,0.167564
Kotak Banking and Financial Services Fund,0.119154,0.166601
HDFC Banking & Financial Services Fund,0.118273,0.159015
Tata Business Cycle Fund,0.117250,0.147877
HDFC Business Cycle Fund,0.115920,0.139052
ICICI Prudential ESG Exclusionary Strategy Fund,0.115647,0.126634
ICICI Prudential QUANT FUND,0.114003,0.123485
ICICI PRUDENTIAL HOUSING OPPORTUNITIES FUND,0.112143,0.141333
ITI Banking and Financial Services Fund,0.111947,0.162883
Tata Banking & Financial Services Fund,0.111561,0.155543
ICICI Prudential MNC Fund,0.107440,0.113804
Aditya Birla Sun Life ESG Integration Strategy Fund,0.104389,0.134222
HDFC Consumption Fund,0.103411,0.134873
HDFC Housing Opportunities Fund,0.097693,0.169001
ICICI Prudential Bharat Consumption Fund,0.096836,0.120700
Baroda BNP Paribas India Consumption Fund,0.096659,0.129453
Sundaram Consumption Fund (Formerly Known as Sundaram Rural and Consumption Fund),0.095050,0.132753
ICICI Prudential Banking & Financial Services Fund,0.094129,0.136256
Aditya Birla Sun Life Banking and Financial Services Fund,0.092950,0.160533
Taurus Ethical Fund,0.089522,0.137247
UTI - MNC Fund,0.087749,0.119063
Aditya Birla Sun Life Consumption Fund,0.087063,0.125889
Axis ESG Integration Strategy Fund,0.085476,0.119682
Franklin India Technology Fund,0.085403,0.149552
Kotak ESG Exclusionary Strategy Fund,0.085074,0.137706
SBI ESG Exclusionary Strategy Fund,0.084496,0.131708
SBI MNC FUND,0.077552,0.117008
Taurus Infrastructure Fund,0.077418,0.181488
HDFC MNC Fund,0.077411,0.130519
TATA HOUSING OPPORTUNITIES FUND,0.076852,0.159464
SBI TECHNOLOGY OPPORTUNITIES FUND,0.076098,0.153959
QUANTUM ESG BEST IN CLASS STRATEGY FUND,0.075301,0.134228
Taurus Banking & Financial Services Fund,0.074823,0.157354
LIC MF Banking and Financial Services Fund,0.070829,0.161487
SBI Equity Minimum Variance Fund,0.070758,0.115152
Aditya Birla Sun Life MNC Fund,0.063043,0.125272
SBI CONSUMPTION OPPORTUNITIES FUND,0.056373,0.130008
ICICI Prudential Technology Fund,0.046357,0.169727
Tata Ethical Fund,0.043857,0.127063
Aditya Birla Sun Life Digital India Fund,0.038714,0.175639
quant Teck Fund,0.036307,0.195460
Tata Digital India Fund,0.036120,0.183314
ICICI Prudential FMCG Fund,-0.029512,0.123318
