slug,isin,as_of,checked,benchmark
axis-floating-interest-rates-fund-direct-growth,INF846K014A6,2026-08-31,2026-09-26,NIFTY Medium to Long Duration Debt Index A-III
axis-gold-and-silver-passive-fof-direct-growth,INF846KA1408,2026-08-31,2026-09-26,
axis-gold-fund-direct-growth,INF846K01DS2,2026-08-31,2026-09-26,Domestic Price of Gold
axis-i-come-plus-arbitrage-omni-fof-direct-growth,INF846K01U09,2026-08-31,2026-09-26,NIFTY Composite Debt Index
axis-i-come-plus-arbitrage-passive-fof-direct-growth,INF846KA1283,2026-08-31,2026-09-26,
axis-india-manufacturing-fund-direct-growth,INF846K016S3,2026-08-31,2026-09-26,Nifty India Manufacturing Total Return Index
axis-innovation-fund-direct-growth,INF846K01X71,2026-08-31,2026-09-26,NIFTY 500 Total Return Index
axis-large-cap-fund-direct-growth,INF846K01DP8,2026-08-31,2026-09-26,BSE 100 Total Return Index
axis-large-mid-cap-fund-direct-growth,INF846K01J46,2026-08-31,2026-09-26,NIFTY Large Midcap 250 Total Return Index
axis-long-term-fund-direct-growth,INF846K014L3,2026-08-31,2026-09-26,NIFTY Long Duration Debt Index A-III
axis-medium-term-fund-direct-growth,INF846K01DT0,2026-08-31,2026-09-26,NIFTY Medium Duration Debt Index A-III
axis-midcap-fund-direct-growth,INF846K01EH3,2026-08-31,2026-09-26,BSE 150 MidCap Total Return Index
axis-momentum-fund-direct-growth,INF846K011Z9,2026-08-31,2026-09-26,NIFTY 500 Total Return Index
axis-money-market-fund-direct-growth,INF846K01Q62,2026-08-31,2026-09-26,NIFTY Money Market Index A-I
axis-multi-asset-omni-fof-direct-growth,INF846KA1366,2026-08-31,2026-09-26,
axis-multi-factor-passive-fof-direct-growth,INF846K011G9,2026-08-31,2026-09-26,NIFTY 500 Total Return Index
axis-multicap-fund-direct-growth,INF846K013E0,2026-08-31,2026-09-26,Nifty 500 Multicap 50:25:25 Total Return Index
axis-nifty-100-index-fund-direct-growth,INF846K01S29,2026-08-31,2026-09-26,NIFTY 100 Total Return Index
axis-nifty-50-index-fund-direct-growth,INF846K013D2,2026-08-31,2026-09-26,NIFTY 50 Total Return Index
axis-nifty-500-index-fund-direct-growth,INF846K019W9,2026-08-31,2026-09-26,NIFTY 500 Total Return Index
axis-nifty-bank-index-fund-direct-growth,INF846K015W7,2026-08-31,2026-09-26,NIFTY Bank Total Return Index
axis-nifty-capital-markets-index-fund-direct-growth,INF846KA1549,2026-08-31,2026-09-26,Nifty Capital Markets Total Return Index
axis-nifty-energy-index-fund-direct-growth,INF846KA1580,2026-08-31,2026-09-26,NIFTY Energy Total Return Index
axis-nifty-india-defence-index-fund-direct-growth,INF846KA1523,2026-08-31,2026-09-26,Nifty India Defence Total Return Index
axis-nifty-it-index-fund-direct-growth,INF846K017R3,2026-08-31,2026-09-26,NIFTY IT Total Return Index
axis-nifty-midcap-50-index-fund-direct-growth,INF846K019H0,2026-08-31,2026-09-26,NIFTY Midcap 50 Total Return Index
axis-nifty-next-50-index-fund-direct-growth,INF846K019E7,2026-08-31,2026-09-26,NIFTY Next 50 Total Return Index
axis-nifty-sdl-september-2026-debt-index-fund-direct-growth,INF846K018K6,2026-08-31,2026-09-26,Nifty SDL Sep 2026 Index
axis-nifty-smallcap-50-index-fund-direct-growth,INF846K013H3,2026-08-31,2026-09-26,NIFTY Smallcap 50 Total Return Index
axis-nifty50-equal-weight-index-fund-direct-growth,INF846KA1564,2026-08-31,2026-09-26,NIFTY 50 Equal Weight Total Return Index
axis-nifty500-momentum-50-index-fund-direct-growth,INF846KA1044,2026-08-31,2026-09-26,Nifty 500 Momentum 50 Total Return Index
axis-nifty500-quality-50-index-fund-direct-growth,INF846KA1200,2026-08-31,2026-09-26,Nifty500 Quality 50 Total Return Index
axis-overnight-fund-direct-growth,INF846K01N65,2026-08-31,2026-09-26,NIFTY 1D Rate Index
axis-quant-fund-direct-growth,INF846K01Z87,2026-08-31,2026-09-26,BSE 200 Total Return Index
axis-retirement-fund-aggressive-plan-direct-growth,INF846K01S86,2026-08-31,2026-09-26,CRISIL Hybrid 25+75 Aggressive Index
axis-retirement-fund-conservative-plan-direct-growth,INF846K01T69,2026-08-31,2026-09-26,CRISIL Hybrid 75+25 Conservative Index
axis-retirement-fund-dynamic-plan-direct-growth,INF846K01T28,2026-08-31,2026-09-26,CRISIL Hybrid 35+65 Aggressive Index
axis-services-opportunities-fund-direct-growth,INF846KA1168,2026-08-31,2026-09-26,NIFTY Services Sector Total Return Index
axis-short-term-fund-direct-growth,INF846K01EI1,2026-08-31,2026-09-26,NIFTY Short Duration Debt Index A-II
axis-silver-fof-direct-growth,INF846K015J4,2026-08-31,2026-09-26,Domestic Price of Silver
axis-small-cap-fund-direct-growth,INF846K01K35,2026-08-31,2026-09-26,NIFTY Smallcap 250 Total Return Index
axis-ultra-short-term-fund-direct-growth,INF846K01F40,2026-08-31,2026-09-26,NIFTY Ultra Short Duration Debt Index A-I
axis-ultra-short-to-short-term-fund-direct-growth,INF846K01EN1,2026-08-31,2026-09-26,NIFTY Low Duration Debt Index A-I
axis-value-fund-direct-growth,INF846K010C0,2026-08-31,2026-09-26,NIFTY 500 Total Return Index
bajaj-finserv-arbitrage-fund-direct-growth,INF0QA701524,2026-08-31,2026-09-26,NIFTY 50 Arbitrage Total Return Index
bajaj-finserv-balanced-advantage-fund-direct-growth,INF0QA701656,2026-08-31,2026-09-26,NIFTY 50 Hybrid Composite Debt 50:50 Index
bajaj-finserv-banking-and-financial-services-fund-direct-growth,INF0QA701BZ6,2026-08-31,2026-09-26,NIFTY Financial Services Total Return Index
bajaj-finserv-banking-and-psu-debt-fund-direct-growth,INF0QA701607,2026-08-31,2026-09-26,Nifty Banking & PSU Debt Index A-II
bajaj-finserv-consumption-fund-direct-growth,INF0QA701946,2026-08-31,2026-09-26,NIFTY India Consumption Total Return Index
bajaj-finserv-elss-tax-saver-fund-direct-growth,INF0QA701AK0,2026-08-31,2026-09-26,BSE 500 Total Return Index
bajaj-finserv-equity-savings-fund-direct-growth,INF0QA701BT9,2026-08-31,2026-09-26,NIFTY Equity Savings Total Return Index
bajaj-finserv-flexi-cap-fund-direct-growth,INF0QA701342,2026-08-31,2026-09-26,BSE 500 Total Return Index
bajaj-finserv-gilt-fund-direct-growth,INF0QA701AP9,2026-08-31,2026-09-26,CRISIL Dynamic Gilt Index
